class,armpit_left,armpit_right,elbow_left,elbow_right,hip_left,hip_right,knee_left,knee_right
13,82,69,166,176,163,4,56,93
13,72,72,171,161,104,71,50,49
13,66,62,179,167,97,85,111,108
13,62,57,175,178,138,39,47,43
13,60,61,172,178,12,167,180,179
13,70,67,174,177,23,157,55,55
13,55,56,168,176,81,96,69,67
13,76,79,172,159,125,46,47,39
13,60,53,156,172,97,64,87,69
13,61,55,175,175,117,60,65,61
13,78,66,168,168,57,119,48,52
13,63,63,172,174,70,104,82,88
13,77,73,72,95,144,33,55,50
13,65,66,167,169,104,76,68,69
13,55,51,172,168,45,129,166,174
13,60,67,178,171,151,28,70,74
13,65,57,174,173,95,83,71,74
13,64,62,158,157,111,68,48,46
13,64,70,48,77,140,14,125,67
13,43,54,175,165,129,47,65,60
13,57,52,170,178,114,73,71,77
13,51,55,170,168,88,89,72,75
13,51,41,175,177,103,76,77,76
13,63,65,177,173,112,40,87,57
13,74,65,136,158,165,13,64,68
13,60,56,169,172,67,112,62,63
13,63,63,168,166,71,103,156,164
13,79,78,69,87,173,6,41,39
14,15,14,174,177,78,99,176,171
14,14,16,175,168,92,89,171,170
14,13,54,152,180,92,94,179,174
14,29,14,175,168,83,84,162,177
14,13,23,172,168,55,116,175,173
14,10,21,161,180,83,92,174,167
14,1,34,146,177,84,100,168,175
14,39,2,176,161,92,94,177,172
14,32,20,168,163,107,74,180,180
14,22,16,150,155,122,57,170,171
14,28,17,168,172,86,92,172,175
14,29,7,176,177,93,81,178,177
14,13,23,172,168,55,116,175,173
15,66,142,177,177,147,55,173,174
15,121,93,168,171,68,148,176,169
15,126,85,172,154,73,150,179,171
15,71,113,166,178,159,54,166,180
15,134,66,179,170,85,151,178,179
15,124,89,171,170,180,31,173,176
15,119,85,171,166,72,149,174,163
15,92,98,158,171,177,86,177,180
15,116,91,167,172,64,150,176,172
15,111,89,164,156,69,161,177,173
15,74,115,174,173,154,64,164,175
15,105,106,168,178,26,152,175,171
15,112,69,168,166,96,165,177,169
15,156,41,178,170,93,143,178,151
15,97,110,173,171,53,165,178,175
16,128,135,173,171,129,49,142,140
16,147,137,172,166,31,148,125,125
16,129,146,160,153,154,27,125,127
16,153,130,161,177,69,118,115,135
16,148,146,150,147,85,94,125,126
16,175,162,165,158,40,134,143,149
16,132,143,163,162,86,91,122,122
16,159,146,154,172,3,170,120,140
16,109,110,60,77,171,24,123,104
16,147,145,160,166,48,132,124,122
16,163,157,154,163,53,127,127,128
16,151,140,158,155,12,168,163,162
16,128,132,160,162,60,119,133,133
16,132,125,164,168,51,128,130,128
16,164,158,153,155,74,104,132,128
16,137,142,154,159,79,101,143,142
16,119,119,166,169,13,167,174,172
16,145,124,158,170,161,20,125,126
16,125,132,169,163,152,33,143,148
16,140,146,154,147,32,148,112,111
16,150,133,158,179,69,109,125,126
16,139,149,172,171,101,76,139,139
16,153,151,152,146,13,159,125,118
16,175,167,161,170,34,143,129,132
16,144,156,163,160,151,27,128,128
16,130,124,158,171,66,112,120,122
16,133,137,171,170,163,20,119,129
16,139,144,176,169,73,101,146,146
16,138,145,148,157,38,141,111,110
16,153,139,161,174,17,163,112,113
16,148,131,155,177,32,157,124,139
16,127,139,171,153,101,79,117,118
16,148,139,156,173,101,79,130,128
16,126,127,170,170,10,177,132,126
16,147,126,154,178,1,172,124,137
16,140,132,167,166,130,47,125,127
16,148,139,157,168,91,88,143,136
16,140,146,163,155,35,138,125,119
16,122,121,174,167,60,117,172,177
16,151,159,149,149,133,58,131,115
16,127,130,174,171,79,99,107,106
16,154,146,160,179,19,160,129,130
16,153,148,159,173,18,159,140,138
16,147,132,156,171,21,158,124,126
16,143,126,154,178,90,89,179,180
16,116,130,166,153,46,125,139,130
16,107,110,174,168,120,49,125,111
16,137,130,162,167,135,51,130,135
16,135,131,172,174,97,81,120,122
16,165,157,166,173,62,115,146,148
16,162,154,163,178,69,113,133,132
16,124,136,154,99,44,136,119,118
17,15,13,175,177,60,124,154,156
17,13,13,178,176,67,114,179,177
17,24,27,176,179,87,98,144,153
17,15,18,180,177,49,131,179,178
17,24,19,177,179,85,97,172,166
17,29,26,179,173,84,98,159,167
17,11,7,179,173,102,77,161,164
17,20,24,179,177,118,52,167,172
17,13,14,175,173,83,103,173,175
17,20,19,180,178,87,95,174,173
17,9,7,180,176,38,148,163,168
17,18,17,178,174,86,98,170,165
17,27,25,171,177,133,45,179,176
17,10,9,176,177,89,89,166,173
17,11,13,177,179,84,97,165,157
17,22,21,177,177,56,121,177,174
17,18,15,173,180,40,142,167,173
17,17,14,179,176,65,118,178,178
17,13,11,177,179,49,130,169,169
17,18,17,179,179,70,111,176,177
